name,color
ILoveLibraries,#ff0000
timgorichanaz,#ff0000
MichaelNarducci,#ff0000
scratch,#ff0000
NewsHouse,#ff0000
LeoDiCaprio,#ff0000
QuestionAnders,#ff0000
thorofficial,#ff0000
kkachi0912,#ff0000
doctorwhosite,#ff0000
SpanglyCaptain,#ff0000
CBSNews,#ff0000
theWEBCORE,#ff0000
LesMizBway,#ff0000
LiveItFitDrexel,#ff0000
cwnikita,#ff0000
slee0327,#ff0000
dcmi13,#ff0000
NateSilver538,#ff0000
Rick_Bayless,#ff0000
Mariobatali,#ff0000
iconf,#ff0000
DeWittLibrary,#ff0000
peopleschoice,#ff0000
JN_Wiley,#ff0000
Anna_Bananagram,#ff0000
paulwesley,#ff0000
littlecalculist,#ff0000
Spotburgers,#ff0000
ApacheIgnite,#ff0000
iii_Innovative,#ff0000
duncanjwatts,#ff0000
gossipgirl,#ff0000
aainfopro,#ff0000
elonmusk,#ff0000
thejadeant,#ff0000
PeterHamby,#ff0000
sohnsukhee,#ff0000
KBO_Scores,#ff0000
CODATANews,#ff0000
buhdools,#ff0000
crazymohit2007,#ff0000
WGyenny,#ff0000
katrina_mm,#ff0000
Laurak7,#ff0000
JavaScriptDaily,#ff0000
affariproject,#ff0000
SyracuseUNews,#ff0000
austinfalk,#ff0000
Young_Brian,#ff0000
ZeSimonne,#ff0000
MaryAugusta,#ff0000
jg88354,#ff0000
MichaelBuono,#ff0000
TheEconomist,#ff0000
NPR,#ff0000
MozLearn,#ff0000
DWBBCBooks,#ff0000
jhrubin,#ff0000
instagram,#ff0000
WhoClass,#ff0000
NikolaLeskova,#ff0000
andicat,#ff0000
hitRECordJoe,#ff0000
JessicaRegitano,#ff0000
VP,#ff0000
PhantomBway,#ff0000
sarahmach21,#ff0000
myhou08,#ff0000
ACM_CHIIR,#ff0000
SyracuseParks,#ff0000
BigDataMercs,#ff0000
DrexelISSS,#ff0000
accuweather,#ff0000
ABCPolitics,#ff0000
IBMWatson,#ff0000
ruthadelia,#ff0000
hbraum,#ff0000
Nestle,#ff0000
spkowalski,#ff0000
sabram,#ff0000
ClaytonKersh22,#ff0000
DULibraries,#ff0000
21Toys,#ff0000
ashley_chasse,#ff0000
Daredevil,#ff0000
EmWatson,#ff0000
jure,#ff0000
PhDiSchoolSU,#ff0000
FSUCCI,#ff0000
Mjamesantonio,#ff0000
SUAlums,#ff0000
TheSocialQuant,#ff0000
tdav,#ff0000
npr_rad,#ff0000
IWM_FractAlerts,#ff0000
WekaMOOC,#ff0000
CNNPolitics,#ff0000
CBS,#ff0000
ITSN_Cloud,#ff0000
DrWhatWebSeries,#ff0000
space_needle,#ff0000
ChrisEvans,#ff0000
buffyjhamilton,#ff0000
jill_hw,#ff0000
firefox,#ff0000
idinamenzel,#ff0000
TheSawon,#ff0000
librarythingtim,#ff0000
slion10,#ff0000
WeAreLibrarians,#ff0000
kimeunsik,#ff0000
FoxNews,#ff0000
simonwex,#ff0000
warrensallen,#ff0000
SASUK_VAnalytic,#ff0000
linuxacademyCOM,#ff0000
NBCPolitics,#ff0000
CNYBuzz,#ff0000
BITS_Lab,#ff0000
MasteringVim,#ff0000
henare,#ff0000
ErikaDrush,#ff0000
KateKenski,#ff0000
FiveThirtyEight,#ff0000
GreysABC,#ff0000
Codecademy,#ff0000
OnceUponTimeABC,#ff0000
britneyspears,#ff0000
SHelson209,#ff0000
swirlstats,#ff0000
BeckhamUpdate,#ff0000
HoudaElmimouni,#ff0000
openscience,#ff0000
iSchoolSU_iSGO,#ff0000
ProQuest,#ff0000
knife1213,#ff0000
peterpaws,#ff0000
TwoAndAHalfMen,#ff0000
DrexelGradColl,#ff0000
DrexelMaterials,#ff0000
LTforLibraries,#ff0000
mozilla,#ff0000
JingWendy,#ff0000
libraryfocus,#ff0000
jhutch1992,#ff0000
manyeyes,#ff0000
climagic,#ff0000
US_IMLS,#ff0000
pamelajgardner,#ff0000
danielditomasso,#ff0000
deirdre_lyon,#ff0000
CHACE_CRAWF0RD,#ff0000
grahamPmartin,#ff0000
Team_Barrowman,#ff0000
mw,#ff0000
lin_fancy,#ff0000
MattfDoyle,#ff0000
InternetMethods,#ff0000
ASISTsigSI,#ff0000
gsiemens,#ff0000
betaphimu,#ff0000
library_anne12,#ff0000
AdAstraEliz,#ff0000
Bio_YAO,#ff0000
nusewenobur,#ff0000
Forbes,#ff0000
JeffHemsley,#ff0000
TheDataDiva,#ff0000
CherylKohen,#ff0000
patyrossini,#ff0000
guzdial,#ff0000
ninadobrev,#ff0000
stevedenning,#ff0000
tableau,#ff0000
ansi_niso,#ff0000
CareerSU,#ff0000
data_freelance,#ff0000
EMPmuseum,#ff0000
JoinTheFlock,#ff0000
fdemilywong,#ff0000
Bigdatamedia1,#ff0000
ABC,#ff0000
WitchesEastEnd,#ff0000
Heineken,#ff0000
colinodonoghue1,#ff0000
grecia_alvarez,#ff0000
bigbangtheory,#ff0000
Wei_Jeon,#009933
carboncostume,#ff0000
Queen_UK,#ff0000
tvdnews,#ff0000
DataSciJ,#ff0000
LibraryJournal,#ff0000
SmartDataCo,#ff0000
github,#ff0000
AbbyBlachly,#ff0000
CERN,#ff0000
danibcook,#ff0000
stephteasley,#ff0000
jimmyfallon,#ff0000
Ziboli25,#ff0000
eastern_branch,#ff0000
hannahkane,#ff0000
niwandajones,#ff0000
followinfosci,#ff0000
KatGraham,#ff0000
SIGIRForum,#ff0000
indeed,#ff0000
INTERPOL_HQ,#ff0000
SyrNewTimes,#ff0000
OracleDatabase,#ff0000
austinbutler,#ff0000
TomFelton,#ff0000
BBCAMERICA,#ff0000
flukeout,#ff0000
RLangTip,#ff0000
dailyorange,#ff0000
BitBodkin,#ff0000
neycwcy10,#ff0000
SBrinhpttt,#ff0000
AdamTownes,#ff0000
Starbucks,#ff0000
imjuhokim,#ff0000
NICKIMINAJ,#ff0000
BrianChi1,#ff0000
_dorsey_usilman,#ff0000
ajlkn,#ff0000
Quanninomarley,#ff0000
terriwillmore,#ff0000
NYLawInstitute,#ff0000
USNatArchives,#ff0000
ReallyCody,#ff0000
internetresearc,#ff0000
kristenscowls,#ff0000
libraryfuture,#ff0000
katyperry,#ff0000
CLRC,#ff0000
NewsChannel9,#ff0000
ComputerSociety,#ff0000
BankofAmerica,#ff0000
NicoleScherzy,#ff0000
modrobotics,#ff0000
adamlevine,#ff0000
jmspool,#ff0000
DiggingIntoData,#ff0000
erfinchie,#ff0000
BeTwinned,#ff0000
annachovanec,#ff0000
rachelmmagee,#ff0000
ericmkrop,#ff0000
Steinbright,#ff0000
Agent_Analytics,#ff0000
kellyLcoulter,#ff0000
digitalcuration,#ff0000
xiaonanliu1,#ff0000
ChaomeiChen,#ff0000
iCareersSU,#ff0000
JoseMolinaTV,#ff0000
jermdemo,#ff0000
nypl,#ff0000
TOMMYMUFC20,#ff0000
kajustus,#ff0000
Data_Informed,#ff0000
timerides,#009933
librarygame,#ff0000
shixia_snoopy,#ff0000
cworiginals,#ff0000
OCPL_Central,#ff0000
twitrratr,#ff0000
MrRobertScott,#ff0000
OfficialHIMYM,#ff0000
omnignorant,#ff0000
DrexelUniv,#ff0000
MarkosReyes2,#ff0000
amlibraries,#ff0000
TEDxSyracuseU,#ff0000
visitphilly,#ff0000
HigherEdSurge,#ff0000
doctorjeff,#ff0000
ArielPomputius,#ff0000
DrexelWriting,#ff0000
DevonESawa,#ff0000
Real_CSS_Tricks,#ff0000
twitterapi,#ff0000
iSchoolSU,#ff0000
MRaymondJames,#ff0000
SunnyChen2012,#ff0000
kaggle,#ff0000
16O47,#ff0000
cmaxw,#ff0000
anataliasmr,#ff0000
msylvain,#ff0000
TVD_Network,#ff0000
asbruckman,#ff0000
Datafloq,#ff0000
prdeepakbabu,#ff0000
social_searcher,#ff0000
BIdotcom,#ff0000
DavidBeckhamWeb,#ff0000
laurasolomon,#ff0000
joseph_vasquez,#ff0000
Txt_Mining,#ff0000
airfarewatchdog,#ff0000
HHJanes,#ff0000
DrWhoOnline,#ff0000
qysnolan,#ff0000
TIME,#ff0000
MathsRR,#ff0000
Chase,#ff0000
Libraryjuan,#ff0000
WorkingOrange,#ff0000
FKEspino,#ff0000
EbolaAlert,#ff0000
DataScienceCtrl,#ff0000
JonnyBailey,#ff0000
MarshallAndie,#ff0000
dpla,#ff0000
TwoDanZ,#ff0000
OnceABC,#ff0000
datawallow,#ff0000
MentalShin,#ff0000
shanewest,#ff0000
neo4j,#ff0000
realjinhyuk,#ff0000
KingArmani1337,#ff0000
daniel_sharman,#ff0000
las16ed,#ff0000
LISResearch,#ff0000
JetBlue,#ff0000
DataIsBeautiful,#ff0000
eigenfactor,#ff0000
mebs,#ff0000
WDLorg,#ff0000
ActuallyNPH,#ff0000
jovitagonzale48,#ff0000
getbootstrap,#ff0000
joshdallas,#ff0000
iROCKBUNNY,#ff0000
wang_qianyi,#ff0000
SpiderMonkeyJS,#ff0000
SarahFelkar,#ff0000
coursera,#ff0000
FreemaOfficial,#ff0000
timlincecum,#ff0000
Oracle,#ff0000
TheFlightDeal,#ff0000
jquery,#ff0000
dr_morton,#ff0000
Treato_com,#ff0000
yossuief2012,#ff0000
historybuff820,#ff0000
adamlofting,#ff0000
brantdaugherty,#ff0000
giftzee,#ff0000
SUJobs,#ff0000
DrexelDragons,#ff0000
LCPLWeb,#ff0000
carlchaynes,#ff0000
ITU,#ff0000
AndrewYNg,#ff0000
shifted,#ff0000
EconomistOnce,#ff0000
mistavila,#ff0000
TeenWorxSalina,#ff0000
jucklee,#ff0000
Kimbotong,#ff0000
BigDataSurveys,#ff0000
cwtcd,#ff0000
katrina_lib,#ff0000
kimxtom,#ff0000
BarackObama,#ff0000
MaggieQ,#ff0000
informor,#ff0000
asist_org,#ff0000
ChadOnData,#ff0000
yuanlx,#ff0000
rvtea,#ff0000
internetarchive,#ff0000
lizliddy,#ff0000
MollyBassford,#ff0000
CaptainAmerica,#ff0000
nytimes,#ff0000
myeeking,#ff0000
DMeky,#ff0000
AgentsofSHIELD,#ff0000
ieeevis,#ff0000
ShawnMendes,#ff0000
MattSteffanina,#ff0000
_Snape_,#ff0000
TwitterU,#ff0000
librarysoupblog,#ff0000
usapalomar712,#ff0000
msbrizzle,#ff0000
kmaruncic,#ff0000
pike_place,#ff0000
twhiddleston,#ff0000
Phil_Gaskin,#ff0000
SyracuseNews,#ff0000
jasonpriem,#ff0000
RaphaelSbarge,#ff0000
strisunshine,#ff0000
barbstripling,#ff0000
nifilippova3747,#ff0000
LukeBryanOnline,#ff0000
DrPyo,#ff0000
DrexelResearch,#ff0000
USATODAY,#ff0000
David_Tennant,#ff0000
CBSPolitics,#ff0000
msnyde01,#ff0000
Data88Smart,#ff0000
NBCNews,#ff0000
DWMtweets,#ff0000
jpmorgan,#ff0000
LMBritton,#ff0000
SwiftLang,#ff0000
Reuters,#ff0000
DandyWeng,#ff0000
zykofykuwami,#ff0000
scimago,#ff0000
CNYcentral,#ff0000
ZacEfron,#ff0000
KusturieM,#ff0000
SysorexGlobal,#ff0000
BelieveInSYR,#ff0000
jtoy,#ff0000
meghasuresh,#ff0000
rdlankes,#ff0000
fontawesome,#ff0000
NEXIS_SU,#ff0000
